epoch,loss,vb,mse,mask_mse,mask_dice,att_align,feat
0,1.9097033352465242,0.004655952690917268,0.09196927032516782,0.6759707673859342,0.21706247573793178,0.037496098522386716,0.0
1,1.9089756219920129,0.005671262084788999,0.09186388340200481,0.6748816133228899,0.21700527672148648,0.03748673863440483,0.0
2,1.9102275819684715,0.007578120672591032,0.0901052837515018,0.6740213256210308,0.2169416677649152,0.03747798432271857,0.0
3,1.904389570132325,0.005858287900578448,0.08829892818903913,0.6737872027257346,0.2169098463656959,0.037472458722574806,0.0
4,1.9088834181464567,0.006998325505948227,0.0915668981807096,0.6735822434897896,0.21690811864866966,0.03746420377674745,0.0
5,1.905545778688498,0.006262663017021014,0.08962090731368944,0.6734698057955743,0.21688017372368398,0.037456788764892786,0.0
6,1.9064156725014163,0.005197974171676462,0.09084167430090759,0.6730822131928609,0.2168767244282753,0.03745023006181264,0.0
7,1.9045386698087838,0.005376354406327112,0.08982951106769807,0.6727890530440965,0.21684006788904409,0.037443466766765625,0.0
8,1.8973535082556985,0.004893849966203209,0.08574263938324317,0.6725666023589469,0.2168384611264884,0.03743439348815749,0.0
9,1.8967564468204146,0.004361382978647832,0.08577528670173708,0.6724671535468512,0.216809801824458,0.03742688424873069,0.0
10,2.655235296385294,0.004892085248818158,0.08704762779095002,0.6721691348628858,0.2168061854554238,0.037415244557836035,15.12910302777841
11,1.9033940576511168,0.005872183550480409,0.08938173863611897,0.6721659245108308,0.21679995381666148,0.037409746073595235,0.0
12,1.9036752983354135,0.007149704792354107,0.09010862592155042,0.6718614943490274,0.2167871101384862,0.037402109278825146,0.0
13,1.903152964917682,0.0075970590029923344,0.09023128769575102,0.6716645590893857,0.21676562047951736,0.0373846532717457,0.0
14,1.892678664318369,0.005977678114358302,0.08216948216753561,0.6717717572375461,0.21673572279457964,0.03736673491373109,0.0
15,1.898391140376223,0.005016447065618813,0.08841673924838804,0.6714915492610791,0.21675753499473538,0.03736321393623155,0.0
16,1.8980772539204402,0.006799062237052379,0.08693558149265043,0.6715339575020823,0.21674522070441454,0.0373572886026755,0.0
17,1.8955605574849197,0.005046184374891154,0.08597117417581024,0.671348801360181,0.21674383727621582,0.03734107114936024,0.0
